,Recipe_Name,Method,Difficulty,difficulty_id
0,,"                     Start by submerging the chicken in brine - you can make the brine by making a 95% water and 5% salt solution. Leave the chicken in brine for at least 3 hours                                       Remove the chicken from the brine, season with freshly ground black pepper and rub with olive oil                                       Place on the barbecue for 2 1/2 minutes. Turn over and colour the other side for 2 1/2 minutes                                       Move the chicken up to a higher shelf and close the lid of the barbecue. Reduce the temperature of the barbecue and cook for a further 20 minutes - this will only work if you have an electric barbecue, if not, transfer to the grill and cook on a low heat for a similar amount of time. To check that its cooked, stick a thermometer in the chicken thigh - 63-65°C will indicate that the chicken is done                                       Toss all the ingredients together in a bowl and add salt, pepper, olive oil and lemon juice. Leave to souse for 3 or 4 minutes.                                       To serve, remove the chicken from the barbecue or grill, slice and serve with the coleslaw                 ",easy,0
1,,"                     For the turkey arancini, add the cooked risotto to a large bowl and break up with a spatula                                       Add the leftover turkey, thyme, sage, mozzarella and pepper, stirring to combine                                       Pour some water into a separate bowl and moisten your hands slightly. Roll the risotto mix into 12 balls, wetting your hands frequently to stop the mix from sticking                                        Place on a tray, cover with cling film and store in the fridge to set for 30-60 minutes                                       For the parsnip purée, add the parsnip and milk to a saucepan and bring to a gentle simmer. Leave on the heat for 15-20 minutes, or until the parsnip is cooked through                                       Pass the contents of the pan through a fine sieve, reserving the milk. Add the parsnip to a blender and blitz with enough of the reserved milk to form a thick purée                                       Combine the purée with the yoghurt in a bowl. Season with a pinch of salt and set aside                                       Once set, remove the arancini balls from the fridge and heat the oil in a deep-fat fryer to 175°C                                       Prepare 3 bowls, add flour to the first, the beaten eggs to the second and pour breadcrumbs into the third                                       Dip the arancini in flour, tapping to remove any excess before coating in the egg wash and finally the breadcrumbs                                       Gently lower the crumbed arancini into the hot oil, 3-4 at a time. Fry for 3-4 minutes until crunchy and golden                                       Remove from the oil and drain on kitchen towel. Serve warm with the yoghurt and parsnip dip and the green salad                 ",easy,0
2,,"                     To debone the chicken thighs, place each thigh, skin-side down, onto a board and use a sharp knife to cut along either side of the bones. Slide the knife underneath the bone and run it down the underside to release the entire piece                                       In a suitable container, salt the thighs for 2 hours. Wash and dry the meat before storing, skin-side up, in a vac pac bag (or wrapped in cling film) overnight                                       To prepare the morels, wash 3 times in cold water, changing the water every time to ensure they are well cleaned                                       Place on a tray lined with kitchen towel and leave to dry in the fridge for 2 hours, before covering in cling film                                       For the wild garlic velouté, bring the milk and cream to the boil, add wild garlic and salt and return to the boil                                       Remove from the heat and allow to cool slightly. While still warm, pass through a fine strainer into a bowl set over ice. Set aside until ready to serve                                        For the chicken thighs, add a small amount of rapeseed oil to a large frying pan and place over a medium-high heat. Add the thighs to the pan, skin-side down, and cook for 4 minutes until golden brown                                       Reduce to a low heat and turn the thighs over. Add the butter, thyme and garlic and cook for an additional 1 minute. Use a spoon to baste the chicken continuously for 2 more minutes, then remove from the heat and keep warm                                       Trim the woody ends off the base of the asparagus and peel halfway up the spear, leaving the top un-peeled. Blanch in salted boiling water for 2 minutes. Remove from the pan and keep on a tray lined with kitchen towel in a warm place                                       Place the thigh, skin-side up, under a hot grill to crisp up the skin. Portion and square off the edges of the thigh. Arrange the thighs onto plates with the morels, velouté, asparagus and wild garlic flowers. Serve immediately                 ",medium,1
3,,"                 To make the most tender flaky pastry, you will need to pulse the flour, salt and butter together in a food processor until you have a uniform crumb with no lumps of butter within the flour. Add the soured cream and pulse again until the dough starts to form a ball                                Tip on to a work surface and gently bring together with your hands. Cut off roughly one-third of the pastry and shape into a disc. Shape the remaining two-thirds into another disc. Wrap both discs individually in clingfilm and chill in the refrigerator for about an hour until firm                                Next, cook all the ingredients for the filling. Melt 25–30g of the butter in a large frying pan and fry the onions and carrots with a generous seasoning of salt over a low heat for 10–15 minutes until they begin to caramelise, stirring occasionally. Remove from the pan and set aside                                Melt the remaining butter in the same pan and fry the chicken thighs over a medium heat for 6–8 minutes on each side, seasoning with salt and pepper as you turn. If using thighs with skin, make sure to get it nice and crispy. Let them cool slightly before pulling the chicken apart with your fingers – you want juicy bite-sized chunks or strips                                Cook the rice in plenty of salted boiling water for a minute or so less than the packet instructions – you want it to be al dente, as it will cook further once inside the pie. Drain and let it cool. Roughly chop the hard-boiled eggs and mix them with all the herbs. Season generously with salt and pepper                                Line a large (3-litre) bowl with clingfilm, making sure there is a bit of overhang around the sides. Remove the bigger disc of pastry from the refrigerator and lightly flour the work surface. Roll out the disc into a rough circle until it’s about 3mm thick and use it to carefully line your clingfilm-covered bowl, ensuring there are no air pockets between the bowl and the pastry. Return to the refrigerator while you roll out the smaller disc in a circle to the same thickness                                When the filling ingredients are sufficiently cool, remove the pastry-lined bowl from the refrigerator and start layering, beginning with the herby eggs, followed by the onions and carrots, chicken and finally the rice. Make sure you firmly pack down each layer before adding the next, as this helps the pie to hold its shape once you flip it and remove the bowl                                Brush the pastry rim with some of the beaten egg (reserve the rest for later) and top the pie with the smaller pastry disc. Pinch together to seal, leaving the overhang. Chill the pie in the refrigerator for a couple of hours                                When you’re ready to bake the pie, preheat the oven to 180°C fan/gas mark 6. Place a baking tray lined with baking parchment on top of the bowl. Holding the base of the bowl, quickly flip it and the baking tray over together, then carefully remove the bowl and clingfilm to reveal your pie                                Trim and crimp or twist the edges, then brush the whole pie with the remaining beaten egg. If you have any dough left over, you can also add some ornate shapes to decorate the pie and give it a folksy Russian look. Use a knife to cut a cross in the top to allow the steam to escape. Bake for 1 hour 20 minutes or until golden brown and a metal skewer inserted into the steam hole comes out hot                                Bring the whole pie to the table and add an element of performance by pouring the hot chicken broth into the hole at the top. Alternatively, enjoy a slice of the pie with a steaming mug of broth on the side              ",medium,1
4,,"                     To make the brine, pour all of the ingredients into a pan and simmer until the salt and sugar dissolves. Leave to cool, then add the quails to the brine. Set aside for 2 hours and 30 minutes                                       Meanwhile, make the sauce. Pour a drizzle of olive oil into a saucepan and start to caramelise the chicken wings and quail bones. Once golden, add the sherry vinegar then drain the bones into a colander. Pour a little more olive oil into the pan, add the shallots and mushrooms and sweat for 5 minutes. Return the bones to the pan, pour in the chicken and veal stock and add the thyme. Bring to the boil and simmer for 1 hour                                       To make the gastrique, add all the ingredients to a saucepan and simmer until reduced by half                                       Pass the quail sauce through a sieve into a clean pan. Add some of the gastrique then reduce on a high heat, constantly checking the flavor and consistency. Once you have the desired flavour, keep warm                                       Remove the quails from the brine, clean with fresh cold water and pat dry. Keep in the fridge until needed                                       Now make the farce. Pour the brandy over the foie gras and place in the freezer                                       Sweat the bacon in olive oil until golden, then drain in a colander. Sweat the lardo in a dry pan for 2 minutes, then drain in the colander with the bacon. Sweat the shallots in olive oil for 15 minutes, or until soft and translucent then also drain in the colander. Pan-fry the chicken livers for 2 minutes in olive oil, then remove from the heat. Chop the livers and add to the other ingredients in the colander                                       Add a dash of olive oil to the pan and add the spinach. Cook until wilted, then drain and squeeze out any excess liquid. Roughly chop the spinach and set aside                                       Place the drained bacon, lardo, shallots and chicken livers in a large bowl, then add the thyme, hazelnuts, breadcrumbs and cooked spinach. Add the soaked sultanas, along with any unabsorbed Sauternes                                       Remove the frozen foie gras from the freezer and gently combine with the ingredients in the bowl. Season to taste, then weigh the mixture into 60g egg-shaped balls. Place the portions in the freezer until frozen solid                                       Once the farce is frozen, insert into the cavity of one of the quails and using 2 cocktail sticks, fasten both ends of skin. Repeat with all the quails. Cling film each quail then steam for 10 minutes                                       Cook the green beans for the salad in salted boiling water until just tender. Drain and set aside                                       To make the truffle vinaigrette, combine the ingredients in a bowl. Gently reheat the quail jus in a pan                                       Preheat the oven to 210°C/fan 190°C/gas mark 7                                       To serve, brown the quails all over in a frying pan with olive oil then roast in the oven for 3 minutes                                        Remove from the oven and rest for 5 minutes. Slice the bird in half and place on a plate, removing the cocktail sticks. Dress the green beans, chicory, hazelnut and shallot in the truffle vinaigrette and place next to the quail. Finally, spoon the sauce over the quail and serve                 ",challenging,2
5,,"                     For the sage and onion stuffing, place a large frying pan over a medium heat. Add a small drizzle of rapeseed oil and knob of butter to the pan and gently fry the onion and garlic until soft                                       Continue to cook until golden brown, then deglaze with the sherry vinegar and reduce until almost dry. Add the honey and fresh chopped sage, season to taste. Remove from the heat and allow to cool                                        For the suet dough, place the flour, suet, salt and pepper into a large bowl and gradually add the water and mix into a dough until it comes together. Place in the fridge to rest for 10 minutes                                        Roll out the dough on a lightly floured surface to a thickness of 2mm. Line 4 greased (180ml capacity) dariole moulds. Line each mould with the pastry, leaving enough dough to allow for the filling                                         Once the filling is cool enough, pack the lined moulds with the sage and onion mix, seal the pudding with a rolled out piece of suet pastry                                       Use 4 square pieces of foil to encase the pudding in the moulds. Steam for 35 minutes. Remove the puddings from the steamer and allow to stand for 10 minutes before turning out and serving                                        For the Madeira gravy, heat a little rapeseed oil in a small saucepan over a medium heat. Gently cook the shallot and garlic until soft and lightly golden                                       Add the thyme, brown chicken stock and beef jus and bring to the boil. Turn down to a simmer and reduce by half. Add the Madeira, remove from the heat, strain and set aside until required                                        For the confit shallots, combine all the ingredients in a vacuum bag and cook at 91˚C for 35 minutes. Allow to cool in iced water before removing from the pouch. Cut in half length ways and sear in a hot frying pan, flat side down, until golden brown                                         For the confit chorizo, cut the chorizos in half and place into a saucepan with the cider, rapeseed oil and bay leaf. Bring up to the boil, reduce to a simmer and cook slowly for 20 minutes                                         Bring a large pot of salted water to the boil. Preheat the oven to 190˚C/gas mark 5. Heat a large frying pan over a medium-high heat and add a drizzle of rapeseed oil                                        Add the butter and when it starts to foam - add the garlic and thyme to infuse. Place the chicken breasts into the pan, skin-side down, and seal until golden brown. Season with salt and pepper and turn. Cook until you achieve the same colour on the other side                                        Place the chicken into the oven for 6 minutes. Remove and allow to rest for a further 6 minutes before slicing and serving                                        Meanwhile, cut the chestnut mushrooms in half and roast in foaming butter with thyme and a crushed garlic clove. Once soft and golden brown, strain off the excess fat from the pan and deglaze with a splash of Worcestershire sauce                                        Bring a large pot of water to the boil. Cook the broccoli in the boiling water for 2 1/2 minutes. Reheat all the other elements of the dish and dish up onto plates. Serve with the gravy on the side                 ",challenging,2
6,,"                     For the beef cheeks, heat the oven to 140ºC/Gas mark 1                                        Seal the beef cheeks in a hot pan with a little oil until browned. Remove the cheeks from pan. Deglaze the pan with the red wine, and boil until the liquid is reduced by half                                       In a separate pan, sweat of all the diced vegetables, garlic, thyme and bay in a little oil                                       Mix the vegetables with the reduced red wine, tomato purée, star anise and chicken stock                                       Put in an ovenproof pan and add the beef cheeks                                       Cover with a lid then braise in the oven for 2 hours and 30 minutes. Remove and allow to cool at room temperature                                       For the parsnips, vac-pac the parsnips with the cream and milk. Whizz to a purée in a blender. Season then pass through a sieve and chill                                        Steam at 100ºC for 25 minutes then blend in a blender for 6 minutes                                       For the snails, heat the oven to 140ºC/Gas mark 1                                        Heat the oil and sweat the vegetables and herbs until golden brown. Add the Madeira and reduce until syrupy                                       Transfer to an ovenproof dish, add the purged snails and braise for 3 hours 30 minutes - 4 hours 30 minutes until tender                                       To finish, heat the butter until foaming. Add the garlic and parsley then add the drained snails and heat through                                       For the wild garlic crust, blanch the wild garlic by dropping it into boiling seasoned water for 4 minutes. Drain, cool and chill                                        Put the wild garlic into a freezer container and freeze. When it starts to harden, transfer it to a food processor and whizzing, before mixing with butter and breadcrumbs                                       Roll out the crust out between 2 sheets of parchment paper then freeze again. Cut, once frozen, into 4cm square pieces                                       For the beef, cut the 500g piece of fillet into 6 pieces, approximately 85g each. Season with salt                                        Heat the oven to 200ºC/Gas mark 6. Sear the beef fillet in the oil quickly all over in a hot pan then transfer to the oven for 15-20 minutes for rare meat                                       Roast the parsnip in the moderately hot oil, add the butter and allow to foam                                       Turn the heat down and baste the foaming butter over the parsnips continuously for 6-8 minutes until cooked all the way through                                       To plate, reheat the cheek through in the red wine gravy and place a piece of the wild garlic crust over the top before glazing under the grill                                        Reheat the parsnip purée and check for seasoning                                       Place a spoonful of parsnip purée to the left of the plate and the rested fillet on the opposing side. Cut the top end off the parsnips and stand one in the centre of the parsnip purée                                       Place the now glazed beef cheek on top of the fillet and dress the crust with the braised snail and snail shells                 ",easy,0
7,,"                     To begin, slightly soften the butter for the devilled butter. Blitz in a blender with the remaining ingredients until well-blended but coarse in texture                                       Transfer to a sheet of cling film and roll into a tight cylinder. Refrigerate until set solid                                       Preheat the oven to 180°C/gas mark 4                                       To make the oxtail for the macaroni cheese, brown the oxtail in a hot ovenproof saucepan with a dash of oil until nicely coloured all over. Remove and set aside. Add the vegetables to the pan and brown well                                       Add the beer, thyme and star anise and reduce until sticky. Add the oxtail pieces back to the pan along with the chicken stock. Cover and cook in the oven for 2.5 hours, then allow to cool in the pan (you can do this the day before)                                       Once the oxtail has cooled, pick the meat from the bone and keep in a bowl. Reduce the cooking liquor by half until rich, then set aside                                       Remove the T-bone from the fridge an hour before cooking                                       Preheat the oven to 180°C/gas mark 4                                       To make the macaroni cheese, melt the butter and flour to a heavy-based pan. Cook out for 5 minutes, then slowly add the milk. Continue to stir until all of the milk has been incorporated                                       Add the cheese and cook for a further 8 minutes                                       Remove from the hob and add the mustard and chopped parsley. Fold in the picked oxtail and 150ml of the reduced cooking liquid and combine with the cooked macaroni                                       Place the macaroni into skillets or ovenproof dishes and sprinkle the breadcrumbs over the top. Place in the oven for 15 minutes until golden brown                                        Before cooking the steak, preheat a barbecue or chargrill to a medium-high heat                                       To cook the steak, season well with salt and pepper and cook slowly on a BBQ to colour both sides well, turning regularly – the steak should reach 40°C in the centre when it is done                                       Carve the steak and serve with a disc of the devilled butter on top, alongside the little gem and macaroni cheese                 ",easy,0
8,,"                     For the pastry, heat the oven to 190°C/Gas mark 5                                       Cut out 4 equal rectangles from each sheet of pastry, keeping it covered as much as possible so it doesn’t dry out. Brush each piece with warm clarified butter and sandwich 2 rectangles together                                       Press flat between 2 baking sheets or mould over thin metal rods to create a corrugated effect. Bake until golden and crisp                                       For the mushrooms, sweat the diced shallot with the garlic in the olive oil until soft                                       Add the mushrooms and cook until softened, then add the cream and reduce until thickened. Season and add the chopped parsley                                       For the red wine sauce, bring the red wine, thyme, juniper berries, peppercorns and sugar to the boil                                       Peel down the shallots leaving the root still attached, add to the red wine and cover with a cartouche. Reduce the heat and cook until the shallots are tender, and the wine slightly syrupy                                       For the bone marrow sauce, heat the stock with the thyme, peppercorns and shallot. Leave to infuse until warm and strain                                       Pour into a high powered blender. Add the xanthan gum with the motor running on low, then slowly add the warmed marrow fat and crème fraiche. Continue to blend until fully emulsified and thickened                                       Add a little sherry vinegar to taste as well as seasoning                                        For the beef, heat the oven to 200°C/Gas mark 6                                       Season the sirloin with Maldon salt and sear all over in the oil in a hot pan. Roast medium rare for 25-30 minutes. Rest well before serving                                       For the salisify, sauté the salsify in a little oil and finish with butter and chopped thyme                                       To plate, flash the pastry through a hot oven to warm it, heat the mushrooms. Top one pastry with a little mushroom and then 2 batons of salsify, and finish with the second pastry                                       Blanch the chard stalks and then the leaves in boiling water. Drain and toss in a little butter. Dress each plate with the bone marrow sauce                                       Top the chard with the beef and place the mille feuille opposite, then the red wine shallot                  ",medium,1
9,,"                     Preheat the oven to 80°C/gas mark 1/4                                       To cook the cheeks, place the duck fat in a deep roasting tray and allow it to warm up in the oven. Trim any fat or sinew off the cheeks and season heavily with salt. Cook the cheeks in the warmed duck fat for 10-12 hours, then allow to cool in the fat                                       For the red wine sauce, sweat the beef trim until golden brown, add half of the mushrooms and sweat for 10 more minutes                                       Add the stock, red wine, the rest of the mushrooms and milk. Bring to the boil and cook for 45-50 minutes, skimming all the time                                       Sieve the sauce and add the xanthan gum and the vinegar and season with salt and pepper. Now add the tarragon and simmer for 2-3 minutes before passing again through a sieve                                       Now make the horseradish purée. Sweat the celeriac down in a pan with the salt and oil until soft and tender                                       Add the milk and horseradish sauce and bring the whole lot to the boil. Take off the heat once boiled, squeeze in the lemon juice and blend into a smooth purée using a stick blender. Pass through a fine sieve                                       Make the olive oil sabayon by putting the warm water, salt, xanthan gum, pomace oil, tarragon vinegar and poached egg into a jug and blending with a stick blender to form a thick emulsion                                       Pass through a fine sieve and pour into the gas canister. Close the lid and charge 2 gas canisters. Shake and keep warm until ready to serve                                       Preheat the oven to 230°C/gas mark 8                                       Finally, cook the beef fillet. Heat a pan with the olive oil to a high temperature, slice the beef into 4, season well and seal until golden brown. Place the beef into the oven for 3-4 minutes until medium rare. Rest in a warm area with the bruised garlic and thyme for 2-3 minutes before serving                                       To serve, drizzle some red wine sauce onto each plate and place a beef cheek on top. Place the fillet next to the beef cheek, including some of the pan juices                                       Ladle the horseradish purée to one side to form a neat droplet. Using the gas canister, emit the sabayon onto the plate in another droplet. Sweep some red wine sauce along the side of the plate and serve                 ",challenging,2
